ts,lat,lng,kalman_speed,endpoint_speed,final_speed,is_stale,is_stationary,raw_dist,raw_dt,raw_implied,stat_count
1773240975000,64.0758996,-21.9513705,0.00,0.00,0.00,true,true,0.03,6.00,0.02,5
1773240978000,64.0758996833333,-21.9513705,0.00,0.00,0.00,true,true,0.01,3.00,0.01,6
1773240984000,64.07589975,-21.9513706666667,0.00,0.00,0.00,true,true,0.01,6.00,0.01,7
1773240987000,64.0759189166667,-21.9513691666667,0.00,0.00,0.00,true,true,2.13,3.00,2.56,8
1773240990000,64.0759678,-21.951385,0.00,0.00,0.00,true,true,5.83,3.00,7.00,9
1773240993000,64.0759678,-21.951385,0.00,0.00,0.00,true,true,1.08,3.00,1.30,10
1773240995000,64.076202,-21.9512888333333,18.56,7.17,6.81,false,false,26.61,2.00,47.90,0
1773240999000,64.076202,-21.9512888333333,8.24,0.00,6.81,true,false,7.66,4.00,6.89,1
1773241002000,64.07666465,-21.9509801666667,42.55,20.41,19.39,false,false,51.74,3.00,62.09,0
1773241004000,64.07666465,-21.9509801666667,31.67,0.00,19.39,true,false,8.11,2.00,14.60,1
1773241010000,64.0770631,-21.9507278333333,22.83,22.83,21.68,false,false,41.47,6.00,24.88,0
1773241013000,64.0774704,-21.9504636666667,44.00,29.33,27.86,false,false,46.36,3.00,55.64,0
1773241015000,64.0774704,-21.9504636666667,29.98,0.00,27.86,true,false,4.67,2.00,8.40,1
1773241017000,64.0779213333333,-21.9501685,50.31,34.85,33.11,false,false,46.51,2.00,83.72,0
1773241019000,64.0779213333333,-21.9501685,37.85,0.00,33.11,true,false,9.23,2.00,16.62,1
1773241022000,64.0783917666667,-21.9498598333333,50.41,46.09,43.79,false,false,48.33,3.00,58.00,0
1773241030000,64.0788822,-21.9495483333333,14.55,14.55,13.82,false,false,60.19,8.00,27.09,0
1773241033000,64.0793832333333,-21.9492321666667,49.30,44.19,41.98,false,false,56.47,3.00,67.77,0
1773241037000,64.0795976666667,-21.9490755,31.82,31.82,30.23,false,false,32.55,4.00,29.30,0
1773241039000,64.07975565,-21.9488823333333,31.37,31.37,29.80,false,false,17.35,2.00,31.23,0
1773241043000,64.07975565,-21.9488823333333,3.70,0.00,29.80,true,false,1.13,4.00,1.02,1
1773241045000,64.07975055,-21.9488903333333,0.00,0.00,0.00,true,true,5.29,2.00,9.51,2
1773241051000,64.0797477666667,-21.9488945,0.00,0.00,0.00,true,true,2.36,6.00,1.41,3
1773241053000,64.0797477666667,-21.9488945,0.00,0.00,0.00,true,true,0.13,2.00,0.23,4
1773241058000,64.0797478166667,-21.9488936666667,0.00,0.00,0.00,true,true,0.03,5.00,0.03,5
1773241060000,64.0797479833333,-21.9488933333333,0.00,0.00,0.00,true,true,0.02,2.00,0.04,6
1773241064000,64.0797479833333,-21.9488933333333,0.00,0.00,0.00,true,true,0.01,4.00,0.01,7
1773241071000,64.0797617166667,-21.94889,0.00,0.00,0.00,true,true,1.53,7.00,0.79,8
1773241073000,64.0797617166667,-21.94889,0.00,0.00,0.00,true,true,0.05,2.00,0.09,9
1773241077000,64.0798170333333,-21.9489006666667,0.00,0.00,0.00,true,true,6.17,4.00,5.56,10
1773241079000,64.0798170333333,-21.9489006666667,0.00,0.00,0.00,true,true,0.77,2.00,1.38,11
1773241083000,64.0800595,-21.948791,21.95,6.63,6.30,false,false,27.64,4.00,24.87,0
1773241089000,64.0806768833333,-21.9483955,50.73,20.91,19.87,false,false,74.83,6.00,44.90,0
1773241094000,64.0811961,-21.948058,44.07,28.21,26.80,false,false,61.83,5.00,44.51,0
1773241100000,64.0817343833333,-21.9476845,35.44,34.63,32.90,false,false,61.84,6.00,37.10,0
1773241103000,64.0822443333333,-21.9471806666667,60.24,42.38,40.26,false,false,61.14,3.00,73.36,0
1773241106000,64.0822443333333,-21.9471806666667,25.94,0.00,40.26,true,false,5.36,3.00,6.43,1
1773241109000,64.0827318166667,-21.9464446666667,52.42,44.53,42.30,false,false,56.80,3.00,68.16,0
1773241112000,64.0827318166667,-21.9464446666667,24.47,0.00,42.30,true,false,6.85,3.00,8.22,1
1773241118000,64.0832603333333,-21.9453191666667,49.40,40.99,38.94,false,false,73.28,6.00,43.97,0
1773241123000,64.08368235,-21.9441473333333,0.00,0.00,0.00,true,false,0.00,3.00,0.00,1
1773241127000,64.0841792166667,-21.9427318333333,67.19,45.38,43.11,false,false,88.17,4.00,79.35,0
