ts,old_speed,new_speed,new_is_stale,new_is_stat
1773242431000,0.00,11.01,false,false
1773242433000,0.00,11.01,true,false
1773242436000,8.72,10.76,false,false
1773242441000,15.08,10.99,false,false
1773242444000,15.08,10.99,true,false
1773242446000,24.69,11.49,false,false
1773242451000,20.65,12.03,false,false
1773242455000,20.65,12.03,true,false
1773242458000,16.16,14.86,false,false
1773242464000,12.63,14.45,false,false
1773242466000,12.63,14.45,true,false
1773242469000,12.75,12.76,false,false
1773242472000,16.95,11.66,false,false
1773242476000,16.95,11.66,true,false
1773242481000,11.32,11.13,false,false
1773242483000,13.64,11.87,false,false
1773242485000,13.64,11.87,true,false
1773242489000,9.61,10.37,false,false
1773242493000,11.82,9.08,false,false
1773242497000,11.23,8.46,false,false
1773242499000,11.23,8.46,true,false
1773242501000,0.00,8.46,true,false
1773242504000,5.38,6.88,false,false
1773242507000,10.25,4.96,false,false
1773242509000,10.25,4.96,true,false
1773242513000,10.71,5.16,false,false
1773242515000,10.71,5.16,true,false
1773242522000,4.34,5.30,false,false
1773242524000,4.34,5.30,true,false
1773242526000,0.00,4.69,false,false
1773242528000,0.00,4.69,true,false
1773242531000,0.00,4.69,true,false
1773242534000,0.00,4.69,true,false
1773242536000,0.00,4.69,true,false
1773242541000,0.00,4.69,true,false
1773242544000,0.00,4.69,true,false
1773242548000,0.00,4.69,true,false
1773242550000,0.00,4.69,true,false
1773242554000,0.00,4.69,true,false
1773242559000,0.00,3.51,false,false
1773242561000,5.26,3.61,false,false
1773242565000,5.26,3.61,true,false
1773242569000,8.01,4.00,false,false
1773242572000,14.00,4.60,false,false
1773242574000,14.00,4.60,true,false
1773242581000,23.36,6.29,false,false
1773242585000,23.36,6.29,true,false
1773242592000,27.32,12.68,false,false
1773242597000,16.26,13.81,false,false
1773242600000,16.26,13.81,true,false
1773242602000,20.62,18.14,false,false
1773242605000,20.62,18.14,true,false
1773242607000,22.33,20.43,false,false
1773242611000,30.58,22.15,false,false
1773242615000,30.58,22.15,true,false
1773242618000,26.34,22.83,false,false
1773242620000,26.34,22.83,true,false
1773242625000,18.22,20.09,false,false
1773242627000,16.30,21.11,false,false
1773242630000,16.30,21.11,true,false
1773242633000,22.01,21.56,false,false
1773242635000,22.01,21.56,true,false
1773242640000,29.31,21.62,false,false
1773242642000,37.21,24.42,false,false
1773242648000,40.36,28.71,false,false
1773242650000,40.36,28.71,true,false
1773242653000,45.93,32.09,false,false
1773242655000,45.93,32.09,true,false
1773242657000,41.64,36.48,false,false
1773242661000,17.18,36.48,true,false
1773242667000,42.78,38.60,false,false
