ts,lat,lng,raw_speed,smooth_speed
1773236168000,64.1392705833333,-21.8182976666667,28.43,28.01
1773236187000,64.1404206333333,-21.8171851666667,26.30,27.73
1773236215000,64.1397908666667,-21.8121218333333,32.83,29.83
1773236238000,64.1385418166667,-21.8084973333333,35.07,22.38
1773236327000,64.13840405,-21.8071228333333,2.77,32.25
1773236366000,64.1446196333333,-21.8059541666667,64.01,23.86
1773236429000,64.14344615,-21.8074726666667,8.56,23.08
1773236548000,64.1433493833333,-21.807488,0.33,7.79
1773236582000,64.1446245833333,-21.8065955,15.70,14.36
1773236677000,64.1377003833333,-21.808135,29.31,17.33
1773236706000,64.1384034166667,-21.8081873333333,9.71,22.20
1773236731000,64.13960975,-21.811674,31.08,22.48
1773236763000,64.1406747166667,-21.8166411666667,30.20,26.44
1773236787000,64.1395234333333,-21.818172,22.20,21.08
1773236825000,64.13837745,-21.8165613333333,14.16,21.42
1773236852000,64.1370140333333,-21.8128696666667,31.28,17.15
1773236896000,64.1368528833333,-21.8107076666667,8.70,19.06
1773236930000,64.1364788333333,-21.8068696666667,20.20,16.56
1773236969000,64.1356791833333,-21.8019793333333,23.38,21.54
1773237002000,64.1347351166667,-21.7978975,24.45,21.37
1773237045000,64.13530975,-21.7932411666667,19.65,18.92
1773237111000,64.1377079166667,-21.7910665,15.64,23.09
1773237128000,64.1391188833333,-21.7893501666667,37.61,23.25
1773237167000,64.1393175166667,-21.7848708333333,20.16,24.35
1773237206000,64.13963025,-21.7806593333333,19.13,22.08
1773237232000,64.1386624833333,-21.7767076666667,30.43,20.39
1773237263000,64.1382354333333,-21.774263,14.83,16.83
1773237339000,64.1394062833333,-21.7721298333333,7.88,26.95
1773237375000,64.1449479833333,-21.774152,62.40,26.63
1773237434000,64.1463988,-21.7708783333333,13.81,28.22
1773237520000,64.1442159333333,-21.774794,12.90,26.59
1773237554000,64.13947055,-21.7723448333333,57.27,31.35
1773237574000,64.1382313333333,-21.7740316666667,28.85,35.99
1773237592000,64.13864745,-21.7767068333333,27.55,30.05
1773237614000,64.13963905,-21.7809896666667,38.48,36.40
1773237627000,64.1393549666667,-21.7845716666667,48.90,34.39
1773237667000,64.13934995,-21.7894338333333,21.22,32.29
1773237687000,64.1378762333333,-21.790813,31.86,28.94
1773237712000,64.1357297833333,-21.7932335,38.30,27.79
1773237763000,64.1347566166667,-21.7978621666667,17.59,29.17
1773237786000,64.13571695,-21.8020958333333,36.23,29.50
1773237808000,64.13647655,-21.8067361666667,39.34,26.57
1773237885000,64.1371812666667,-21.8100445,8.35,22.69
1773237903000,64.1367760166667,-21.8123328333333,23.96,18.59
1773237937000,64.138328,-21.8160388333333,26.38,27.75
1773237952000,64.1392914833333,-21.8183578333333,37.28,27.41
1773237973000,64.1403879666667,-21.8172355,22.89,28.28
1773238005000,64.1397466333333,-21.8121005,29.14,29.25
1773238024000,64.13856995,-21.8086393333333,40.33,24.47
1773238059000,64.1384027833333,-21.8071235,7.80,31.26
1773238107000,64.1444496166667,-21.8060213333333,50.59,21.18
1773238165000,64.14339755,-21.8074818333333,8.49,18.96
1773238284000,64.14326635,-21.8070351666667,0.79,4.89
1773238375000,64.1446537166667,-21.8066085,6.16,16.16
1773238439000,64.1376417333333,-21.8082618333333,44.09,18.82
1773238471000,64.1383742,-21.8081305,9.19,26.39
1773238497000,64.13959255,-21.8116265,30.05,21.53
1773238531000,64.1406720833333,-21.8166493333333,28.76,24.03
1773238563000,64.1394876333333,-21.8182113333333,17.09,22.44
1773238585000,64.1383443,-21.816462,25.01,24.40
1773238609000,64.1369596333333,-21.8128568333333,34.95,26.27
1773238626000,64.1368654666667,-21.8106295,22.99,20.50
1773238722000,64.1364712333333,-21.806998,6.81,16.45
1773238764000,64.1356661166667,-21.8019965,22.17,18.38
1773238791000,64.13474205,-21.798032,29.07,21.29
1773238845000,64.1353185666667,-21.7932706666667,15.98,20.64
1773238897000,64.13773795,-21.7910025,20.12,22.80
1773238915000,64.1391834166667,-21.7893535,35.91,26.98
1773238941000,64.1393012666667,-21.7850188333333,29.17,25.90
1773238988000,64.1396182833333,-21.7805778333333,16.72,20.98
1773239025000,64.1386689166667,-21.7768486666667,20.38,16.96
1773239057000,64.1381911166667,-21.7740356666667,16.47,16.89
1773239091000,64.1392901666667,-21.7720436666667,16.50,24.97
1773239141000,64.1449457666667,-21.7741983333333,45.90,24.40
1773239196000,64.1463564666667,-21.7708966666667,14.67,22.91
1773239288000,64.1442432,-21.7747696666667,11.77,28.02
1773239319000,64.1395467166667,-21.772448,62.04,27.67
1773239363000,64.1382060833333,-21.7739493333333,13.57,35.29
1773239376000,64.1385540666667,-21.7764958333333,35.84,26.59
1773239402000,64.1396233333333,-21.78102,34.56,37.63
1773239415000,64.1393383166667,-21.7845673333333,48.45,36.86
1773239440000,64.1393979333333,-21.7893485,33.41,41.18
1773239454000,64.1378394166667,-21.7908196666667,48.19,34.96
1773239487000,64.1357056833333,-21.79321,28.81,34.30
1773239516000,64.13475365,-21.7979285,31.31,25.15
1773239557000,64.1356650333333,-21.8019486666667,19.30,27.30
1773239582000,64.1364527,-21.8067181666667,35.62,25.45
1773239608000,64.13716715,-21.8101346666667,25.45,26.30
1773239627000,64.1367638666667,-21.812342,21.99,19.57
1773239688000,64.1382901,-21.815942,14.37,17.63
1773239717000,64.1392083166667,-21.818359,19.30,18.71
1773239737000,64.14038,-21.8172326666667,25.43,22.21
1773239772000,64.1398112166667,-21.812312,25.39,22.70
1773239811000,64.13853785,-21.8086773333333,20.87,15.40
1773239927000,64.13843515,-21.80712,2.37,19.80
1773239991000,64.1446955166667,-21.805963,39.28,17.77
1773240031000,64.1434110666667,-21.807478,14.46,17.30
1773240152000,64.1432188166667,-21.8070551666667,0.88,10.22
1773240184000,64.14456085,-21.8066581666667,16.93,16.23
1773240267000,64.1376581833333,-21.80819,33.45,18.91
1773240298000,64.1383809166667,-21.8081415,9.34,21.13
1773240331000,64.1396055666667,-21.8116905,23.94,20.24
1773240362000,64.1406784,-21.8165425,30.64,22.36
1773240396000,64.1395161666667,-21.8181728333333,16.04,23.19
1773240416000,64.1383646,-21.8166646666667,26.54,23.71
